country,timeline.10/24/22
Afghanistan,11977773
Albania,2991576
Algeria,15267442
Andorra,154320
Angola,22696229
Anguilla,24412
Antigua and Barbuda,136512
Argentina,109827384
Armenia,2150112
Aruba,173650
Australia,58494109
Austria,19719587
Azerbaijan,13857111
Bahamas,362968
Bahrain,3473111
Bangladesh,317493457
Barbados,380666
Belarus,16102869
Belgium,28782590
Belize,501240
Benin,3692096
Bermuda,132042
Bhutan,2010132
Bolivia,14690530
Caribbean Netherlands,35845
Bosnia,1924950
Botswana,2891400
Brazil,473101996
British Virgin Islands,41453
Brunei,1278500
Bulgaria,4572487
Burkina Faso,4070678
Burundi,24236
Cambodia,44203568
Cameroon,1901047
Canada,91760269
Cabo Verde,859940
Cayman Islands,149153
Central African Republic,1714941
Chad,3879297
Chile,62466903
China,3438993000
Colombia,89015414
Comoros,835021
Congo,833210
Cook Islands,39780
Costa Rica,12112439
Côte d'Ivoire,18547812
Croatia,5323857
Cuba,42269794
Curaçao,255882
Cyprus,1794533
Czechia,18307809
DRC,6020452
Denmark,13194615
Djibouti,267794
Dominica,67647
Dominican Republic,16076342
Ecuador,37260948
Egypt,98911424
El Salvador,11289175
Equatorial Guinea,488738
Estonia,2065454
Swaziland,773579
Ethiopia,52509414
Faroe Islands,103894
Falkland Islands (Malvinas),4407
Fiji,1544186
Finland,12875789
France,150226192
French Polynesia,496786
Gabon,569829
Gambia,815861
Georgia,2930677
Germany,187296879
Ghana,20152826
Gibraltar,119855
Greece,21599632
Greenland,79745
Grenada,90251
Guatemala,19814697
Guernsey,157708
Guinea,7597562
Guinea-Bissau,673091
Guyana,1017969
Haiti,476304
Honduras,16211055
Hong Kong,19757271
Hungary,16530488
Iceland,805469
India,2195580184
Indonesia,439211020
Iran,154573470
Iraq,19299829
Ireland,11091283
Isle of Man,189994
Israel,18245178
Italy,141557007
Jamaica,1493518
Japan,329022861
Channel Islands,252511
Jordan,10057975
Kazakhstan,20918681
Kenya,21522783
Kiribati,178382
Kuwait,8223203
Kyrgyzstan,3292861
Lao People's Democratic Republic,11111066
Latvia,2895716
Lebanon,5789338
Lesotho,1077116
Liberia,4061384
Libyan Arab Jamahiriya,3716080
Liechtenstein,71959
Lithuania,4512655
Luxembourg,1350776
Macao,1507144
Madagascar,1999667
Malawi,5619203
Malaysia,72172030
Maldives,951199
Mali,3358891
Malta,1339497
Mauritania,3252274
Mauritius,2609428
Mexico,223158993
Moldova,2241785
Monaco,65140
Mongolia,5492919
Montenegro,679171
Montserrat,4564
Morocco,55299169
Mozambique,24676660
Myanmar,64549994
Namibia,958674
Nauru,25172
Nepal,59014127
Netherlands,36104942
New Caledonia,469464
New Zealand,11780750
Nicaragua,11890941
Niger,4534315
Nigeria,80602232
Niue,4180
Macedonia,1861953
Norway,12071832
Oman,7084586
Pakistan,298941643
Palestine,3741181
Panama,8645001
Papua New Guinea,676996
Paraguay,9419313
Peru,84930701
Philippines,166730872
Pitcairn,117
Poland,57269433
Portugal,25965516
Qatar,7557802
Romania,16827486
Russia,179768583
Rwanda,26106436
Saint Helena,7892
Saint Kitts and Nevis,64225
Saint Lucia,133286
Saint Vincent and the Grenadines,72875
Samoa,448674
San Marino,69338
Sao Tome and Principe,227603
Saudi Arabia,67839503
Senegal,2469499
Serbia,8534688
Seychelles,215396
Sierra Leone,4334743
Singapore,14715892
Sint Maarten,65324
Slovakia,5754313
Slovenia,2996643
Solomon Islands,542968
Somalia,7198588
South Africa,37758822
S. Korea,129448421
South Sudan,2169761
Spain,95804542
Sri Lanka,40008219
Sudan,8179010
Suriname,505699
Sweden,24699097
Switzerland,16135304
Syrian Arab Republic,4777586
Taiwan,62864570
Tajikistan,15441380
Tanzania,28091873
Thailand,142635014
Timor-Leste,1842717
Togo,3295699
Tokelau,3326
Tonga,204938
Trinidad and Tobago,1580898
Tunisia,14827155
Turkey,152439487
Turkmenistan,13514000
Turks and Caicos Islands,72837
Tuvalu,25591
Uganda,25783131
Ukraine,31668577
UAE,24922054
UK,151248820
USA,632905664
Uruguay,8742931
Uzbekistan,69218586
Vanuatu,292146
Venezuela,37860994
Vietnam,260246761
Wallis and Futuna,17959
Yemen,1065395
Zambia,11450011
Zimbabwe,12222754
